index,unit1_rgb,unit1_beam_32,unit1_beam_64
1,../../../Scenario5/unit1/camera_data/image_BS1_259_03_20_31.jpg,30,60
2,../../../Scenario5/unit1/camera_data/image_BS1_260_03_20_31.jpg,31,60
3,../../../Scenario5/unit1/camera_data/image_BS1_261_03_20_31.jpg,30,58
4,../../../Scenario5/unit1/camera_data/image_BS1_262_03_20_31.jpg,30,59
5,../../../Scenario5/unit1/camera_data/image_BS1_263_03_20_31.jpg,30,60
6,../../../Scenario5/unit1/camera_data/image_BS1_264_03_20_31.jpg,29,57
7,../../../Scenario5/unit1/camera_data/image_BS1_265_03_20_32.jpg,30,59
8,../../../Scenario5/unit1/camera_data/image_BS1_267_03_20_32.jpg,29,57
9,../../../Scenario5/unit1/camera_data/image_BS1_268_03_20_32.jpg,28,55
10,../../../Scenario5/unit1/camera_data/image_BS1_269_03_20_32.jpg,28,55
11,../../../Scenario5/unit1/camera_data/image_BS1_270_03_20_32.jpg,28,55
12,../../../Scenario5/unit1/camera_data/image_BS1_271_03_20_32.jpg,28,55
13,../../../Scenario5/unit1/camera_data/image_BS1_272_03_20_32.jpg,28,55
14,../../../Scenario5/unit1/camera_data/image_BS1_273_03_20_33.jpg,28,55
15,../../../Scenario5/unit1/camera_data/image_BS1_274_03_20_33.jpg,28,55
16,../../../Scenario5/unit1/camera_data/image_BS1_275_03_20_33.jpg,26,51
17,../../../Scenario5/unit1/camera_data/image_BS1_276_03_20_33.jpg,27,54
18,../../../Scenario5/unit1/camera_data/image_BS1_277_03_20_33.jpg,26,51
19,../../../Scenario5/unit1/camera_data/image_BS1_278_03_20_33.jpg,26,51
20,../../../Scenario5/unit1/camera_data/image_BS1_279_03_20_33.jpg,26,51
21,../../../Scenario5/unit1/camera_data/image_BS1_280_03_20_33.jpg,26,51
22,../../../Scenario5/unit1/camera_data/image_BS1_281_03_20_34.jpg,26,51
23,../../../Scenario5/unit1/camera_data/image_BS1_282_03_20_34.jpg,25,52
24,../../../Scenario5/unit1/camera_data/image_BS1_283_03_20_34.jpg,25,49
25,../../../Scenario5/unit1/camera_data/image_BS1_284_03_20_34.jpg,25,49
26,../../../Scenario5/unit1/camera_data/image_BS1_285_03_20_34.jpg,25,49
27,../../../Scenario5/unit1/camera_data/image_BS1_287_03_20_34.jpg,24,48
28,../../../Scenario5/unit1/camera_data/image_BS1_288_03_20_34.jpg,24,47
29,../../../Scenario5/unit1/camera_data/image_BS1_289_03_20_35.jpg,24,48
30,../../../Scenario5/unit1/camera_data/image_BS1_290_03_20_35.jpg,24,46
31,../../../Scenario5/unit1/camera_data/image_BS1_291_03_20_35.jpg,23,45
32,../../../Scenario5/unit1/camera_data/image_BS1_292_03_20_35.jpg,23,45
