index,unit1_rgb,unit2_pos,unit1_beam_32,unit1_beam_64
1774,../../../Scenario5/unit1/camera_data/image_BS1_7018_03_34_56.jpg,"[0.4411239506650633, 0.06818181796859943]",11,21
2150,../../../Scenario5/unit1/camera_data/image_BS1_9473_03_40_14.jpg,"[0.6749245705115114, 0.1071428573790456]",6,11
1265,../../../Scenario5/unit1/camera_data/image_BS1_4871_03_30_21.jpg,"[0.27930461196693873, 0.10389610386414605]",22,42
57,../../../Scenario5/unit1/camera_data/image_BS1_317_03_20_38.jpg,"[0.4163707641479176, 0.865800865790879]",17,34
1085,../../../Scenario5/unit1/camera_data/image_BS1_4369_03_29_16.jpg,"[0.13700457708506125, 0.11363636363985903]",28,54
112,../../../Scenario5/unit1/camera_data/image_BS1_571_03_21_11.jpg,"[0.6711479649494086, 0.0790043289159456]",2,3
2117,../../../Scenario5/unit1/camera_data/image_BS1_9298_03_39_51.jpg,"[0.6698959381011705, 0.8852813851885077]",11,20
826,../../../Scenario5/unit1/camera_data/image_BS1_3612_03_27_40.jpg,"[0.16643747049818242, 0.8225108224628858]",26,51
1246,../../../Scenario5/unit1/camera_data/image_BS1_4852_03_30_19.jpg,"[0.3486176392067574, 0.10281385284631]",19,34
1315,../../../Scenario5/unit1/camera_data/image_BS1_5107_03_30_51.jpg,"[0.22708893496019733, 0.8225108224628858]",25,48
1118,../../../Scenario5/unit1/camera_data/image_BS1_4588_03_29_45.jpg,"[0.17653578539739326, 0.8398268395172482]",26,52
1130,../../../Scenario5/unit1/camera_data/image_BS1_4601_03_29_46.jpg,"[0.29506783522388774, 0.8073593072903983]",22,44
1230,../../../Scenario5/unit1/camera_data/image_BS1_4836_03_30_17.jpg,"[0.39783666180801713, 0.10064935050304365]",15,29
1045,../../../Scenario5/unit1/camera_data/image_BS1_4329_03_29_11.jpg,"[0.4977319841493323, 0.06926406929402974]",9,17
286,../../../Scenario5/unit1/camera_data/image_BS1_1038_03_22_11.jpg,"[0.5181338642528955, 0.7976190475146853]",13,26
584,../../../Scenario5/unit1/camera_data/image_BS1_2578_03_25_28.jpg,"[0.3685269185721473, 0.08874458869165856]",17,33
1673,../../../Scenario5/unit1/camera_data/image_BS1_6541_03_33_55.jpg,"[0.19658873997200713, 0.03896103879525764]",26,51
1747,../../../Scenario5/unit1/camera_data/image_BS1_6853_03_34_35.jpg,"[0.7160156811225019, 0.7251082250133503]",5,9
196,../../../Scenario5/unit1/camera_data/image_BS1_655_03_21_21.jpg,"[0.2712177500406146, 0.10497835503577924]",22,43
368,../../../Scenario5/unit1/camera_data/image_BS1_1302_03_22_45.jpg,"[0.24517148662586957, 0.10064935050304365]",23,46
1745,../../../Scenario5/unit1/camera_data/image_BS1_6851_03_34_35.jpg,"[0.6898667925478942, 0.7294372295460858]",6,11
