index,unit2_pos,unit1_beam_32,unit1_beam_64
1774,"[0.4411239506650633, 0.06818181796859943]",11,21
2150,"[0.6749245705115114, 0.1071428573790456]",6,11
1265,"[0.27930461196693873, 0.10389610386414605]",22,42
57,"[0.4163707641479176, 0.865800865790879]",17,34
1085,"[0.13700457708506125, 0.11363636363985903]",28,54
112,"[0.6711479649494086, 0.0790043289159456]",2,3
2117,"[0.6698959381011705, 0.8852813851885077]",11,20
826,"[0.16643747049818242, 0.8225108224628858]",26,51
1246,"[0.3486176392067574, 0.10281385284631]",19,34
1315,"[0.22708893496019733, 0.8225108224628858]",25,48
1118,"[0.17653578539739326, 0.8398268395172482]",26,52
1130,"[0.29506783522388774, 0.8073593072903983]",22,44
1230,"[0.39783666180801713, 0.10064935050304365]",15,29
1045,"[0.4977319841493323, 0.06926406929402974]",9,17
286,"[0.5181338642528955, 0.7976190475146853]",13,26
584,"[0.3685269185721473, 0.08874458869165856]",17,33
1673,"[0.19658873997200713, 0.03896103879525764]",26,51
1747,"[0.7160156811225019, 0.7251082250133503]",5,9
196,"[0.2712177500406146, 0.10497835503577924]",22,43
368,"[0.24517148662586957, 0.10064935050304365]",23,46
1745,"[0.6898667925478942, 0.7294372295460858]",6,11
48,"[0.3622873093775134, 0.8798701296379362]",19,37
1760,"[0.6359680630506591, 0.05952380951831677]",2,3
1744,"[0.6769770735337594, 0.7326839824457969]",7,14
2083,"[0.15695490651439628, 0.9437229435351914]",30,59
2269,"[0.5305309825288571, 0.8603896102403074]",15,29
2089,"[0.264218714721332, 0.9242424241375625]",26,52
2200,"[0.305474025573519, 0.12770562779451047]",23,45
955,"[0.0601588637384255, 0.11796536786500036]",29,58
7,"[0.08140227006535979, 0.9329004327416424]",30,59
2300,"[1.0, 0.8409090908426785]",2,2
41,"[0.31936947106680524, 0.8885281383958131]",21,42
1319,"[0.27281870240321815, 0.8138528138588059]",23,45
1220,"[0.4351306418249322, 0.09956709948520759]",13,26
738,"[0.5586913240763516, 0.051948051932073025]",6,11
1277,"[0.21058681061057222, 0.10281385284631]",24,47
1481,"[0.42189199729643184, 0.07359307351917108]",12,23
986,"[0.34670881139373344, 0.8344155842742709]",20,39
1066,"[0.3055561257014092, 0.09415584424223021]",20,39
2141,"[0.7391884403090166, 0.10497835503577924]",4,6
2072,"[0.17156872806838608, 0.08441558446651723]",26,52
1326,"[0.34309640607282704, 0.7997835497041546]",20,39
737,"[0.5666550358108404, 0.050865800914236974]",6,11
1766,"[0.5537447917793169, 0.061688311707786]",6,11
1917,"[0.1108556885104535, 0.13528138522695707]",28,55
1856,"[0.7784117731563444, 0.7911255409462776]",3,5
1148,"[0.45522464646349114, 0.7792207791348925]",15,29
960,"[0.038258656432121396, 0.9080086581010361]",30,58
1263,"[0.28798669977671504, 0.10389610386414605]",21,42
599,"[0.29859814043148786, 0.0930735929167999]",20,39
1418,"[0.3123704357475227, 0.0]",19,37
984,"[0.3088401305399226, 0.8398268395172482]",22,43
109,"[0.6889636912140217, 0.08008658008757877]",2,2
2003,"[0.7151331048206019, 0.7705627705308127]",4,8
1419,"[0.30379097309760916, 0.0]",20,39
564,"[0.4411239506650633, 0.08658008665598646]",12,24
786,"[0.21397344060894838, 0.05627705615721436]",25,48
2283,"[0.7127727263333498, 0.835497835445904]",9,18
121,"[0.6202253648256826, 0.0790043289159456]",4,6
1959,"[0.25262207261938036, 0.8528138526540636]",23,45
1630,"[0.43636214364119774, 0.03896103879525764]",12,23
1986,"[0.5116479546745911, 0.8030303030652569]",12,23
615,"[0.18817347756329003, 0.10497835503577924]",26,52
108,"[0.695039100182043, 0.08008658008757877]",2,2
2138,"[0.7632437757828475, 0.10389610386414605]",4,6
1903,"[0.24098438045348358, 0.12878787881234652]",22,43
2114,"[0.6153609326565381, 0.8896103894136491]",12,22
315,"[0.7993883540968033, 0.7976190475146853]",2,3
2176,"[0.4768785534007086, 0.12121212122610277]",13,26
1624,"[0.4723835717633183, 0.03896103879525764]",11,20
1592,"[0.7789659489758515, 0.7976190475146853]",3,6
2174,"[0.49065084871674347, 0.12012987020826672]",12,22
2246,"[0.3066439523084508, 0.9361471859489476]",26,51
637,"[0.031177520984948665, 0.8993506491893621]",30,59
2120,"[0.7119312000953948, 0.8841991341706718]",8,6
971,"[0.14956589561680314, 0.8690476189981843]",27,54
1922,"[0.07033927875094263, 0.13744588757022344]",30,59
558,"[0.46376305904945964, 0.08441558446651723]",11,22
1560,"[0.40926910366877234, 0.8409090908426785]",18,34
2236,"[0.23269226822201788, 0.9653679652760866]",27,54
2249,"[0.3391761252869164, 0.9220779219480933]",24,46
1789,"[0.2322612425943461, 0.08008658008757877]",22,42
416,"[0.3463804109113405, 0.07251082250133503]",17,34
655,"[0.21142833686311105, 0.8387445884994121]",25,49
1232,"[0.39194597812774873, 0.10173160182847395]",15,29
1751,"[0.7833993555173241, 0.7164502164092704]",3,6
243,"[0.15030479669489533, 0.83658008646374]",28,54
2124,"[0.7833377804214064, 0.8820346318274054]",6,11
481,"[0.47960838241971493, 0.7846320346854642]",15,29
