index,unit2_pos,unit1_beam_32,unit1_beam_64
1,"[0.8476434552647498, 0.04792332267645334]",4,6
2,"[0.840599174975069, 0.04712460067913963]",2,4
3,"[0.833554894685388, 0.04632587868182592]",3,5
4,"[0.826510614395707, 0.04552715657100698]",3,5
5,"[0.8194252196262171, 0.04552715657100698]",3,6
6,"[0.812326120030124, 0.04552715657100698]",4,7
7,"[0.8052133156171659, 0.04552715657100698]",4,8
8,"[0.7980868063678668, 0.04552715657100698]",4,4
9,"[0.7909602971283056, 0.04552715657100698]",4,7
10,"[0.7838063782258006, 0.04552715657100698]",4,8
11,"[0.7766524593427712, 0.04552715657100698]",5,9
12,"[0.769484835613663, 0.04552715657100698]",4,8
13,"[0.7623720312007048, 0.04552715657100698]",4,7
14,"[0.7551495881749225, 0.04552715657100698]",5,9
15,"[0.7479545548023462, 0.04632587868182592]",5,9
16,"[0.7407732262563729, 0.04712460067913963]",5,8
17,"[0.7335918977103997, 0.04792332267645334]",4,6
18,"[0.7264379788176324, 0.04872204490077751]",5,9
19,"[0.7192977647514682, 0.04952076689809122]",5,9
20,"[0.7121575506755661, 0.04952076689809122]",6,10
21,"[0.7048117642298323, 0.051118210779213406]",6,10
22,"[0.6975756163774469, 0.05191693277652712]",6,11
23,"[0.6903394685347994, 0.05271565500085129]",6,10
24,"[0.6831170255090171, 0.05431309910898394]",6,11
25,"[0.6759082873098378, 0.05511182110629765]",6,11
26,"[0.6687132539372614, 0.055910543103611356]",6,11
27,"[0.6615319253912882, 0.05670926532793553]",6,11
28,"[0.6543505968453149, 0.05750798732524924]",6,11
29,"[0.6470459248696523, 0.05910543131987666]",7,14
30,"[0.6398645963236791, 0.060702875428009305]",7,14
31,"[0.6326695629608406, 0.06230031964964718]",7,14
32,"[0.6254334151084553, 0.0638977636442746]",8,14
33,"[0.6181972672658077, 0.06549520775240726]",8,15
34,"[0.6109200049336133, 0.06709265174703467]",8,15
35,"[0.6036290377845538, 0.06789137374434838]",8,15
36,"[0.5963243658088911, 0.06948881785248104]",8,16
37,"[0.5889511697099513, 0.07108626207411892]",9,17
38,"[0.5816602025608917, 0.07268370606874633]",9,17
